City,Year,Week,Average Duration (sec),Number Trips,Number Stations,Number Bikes
Boston,2015,23,1133.7410301953819,5630,132.45018749999187,476.1105231460561
Boston,2015,24,1222.58539247792,10077,134.14481679812855,488.29496734519506
Boston,2015,25,1200.4140977624124,10413,134.7738749999757,495.87187500009725
Boston,2015,26,1185.3869530279787,13689,134.77387499997081,495.9504807693879
Boston,2015,27,1313.7380120364978,10302,134.77387499997593,496.251562500013
Boston,2015,28,1192.9568246492004,10191,134.77387499997616,496.2515625000091
Boston,2015,29,1195.5947054436988,10728,134.7738749999751,496.25156250002726
Boston,2015,30,1225.4079650748397,11224,134.77387499997423,496.25156250004255
Boston,2015,31,1218.4677657625716,16923,134.77387499996786,496.2515625001536
Boston,2015,32,1220.3863620866007,14665,134.7738749999698,496.25156250012
Boston,2015,33,1206.435579281489,13862,134.77387499997064,496.63124999989446
Boston,2015,34,1195.0027337782424,12437,134.77387499997238,496.63124999992505
Boston,2015,35,1171.6069048399431,9153,134.77387499997852,496.63125000003186
Boston,2015,36,1198.5877466251297,2889,134.77387500000867,496.63125000001304
Boston,2016,22,1192.095783446122,9605,153.36337499997398,572.6612111204938
Boston,2016,23,1205.7217120622568,12850,153.36337499996972,573.328125
Boston,2016,24,1208.829779857861,17307,153.36337500001537,574.8417852964305
Boston,2016,25,1221.3109140518418,14660,153.36337499998385,577.125
Boston,2016,26,1169.370627141605,12549,153.41417306654586,577.1518374223177
Boston,2016,27,1309.817760342368,14020,154.14169429383455,581.6006815042472
Boston,2016,28,1215.9211874051593,10544,154.14087590096565,582.1468929308646
Boston,2016,29,1223.9090244176887,17774,155.45461530889597,590.2722831629671
Boston,2016,30,1217.3154946016925,17135,157.53258705129645,596.1904532936018
Boston,2016,31,1219.0822661469933,14368,158.7853125000216,601.3939759797809
Boston,2016,32,1241.6669797687862,13840,160.76542780436313,612.9212735955808
Boston,2016,33,1229.575080495658,10249,161.89746819814212,617.1229609291922
Boston,2016,34,1213.0504642108415,13356,162.6581250000297,635.5964485764077
Boston,2016,35,1205.4644168314035,7082,162.92280182150986,650.6351699290215
Boston,2017,22,1213.3880480574192,6409,175.82568749997552,702.0421874999159
Boston,2017,23,1234.5053701015966,10335,176.5861602321856,705.902509071081
Boston,2017,24,1222.234039587399,7174,176.60024999999303,706.21875
Boston,2017,25,1259.5421987784564,14408,176.6002499999879,706.21875
Boston,2017,26,1227.6914090326256,14038,177.10240795079199,707.4007362826228
Boston,2017,27,1429.8191381922236,11882,177.37481250003862,709.635745770787
Boston,2017,28,1191.0299447513812,9050,177.37481250002392,709.6359374998854
Boston,2017,29,1228.981739483295,14786,177.37481250004785,709.6359375000443
Boston,2017,30,1232.5847557183333,14471,178.54530056232923,709.6359375000291
Boston,2017,31,1253.5152296535052,12410,178.92393749998965,709.6359374999101
Boston,2017,32,1262.5418521266074,16176,179.2112860139737,709.6359375001044
Boston,2017,33,1234.4241274658573,15816,179.69849999997263,709.6359375000899
Boston,2017,34,1224.2689135381115,14064,179.69849999997666,709.6359375000083
Boston,2017,35,1198.6214382632293,10318,179.6984999999898,709.6359374998766
Boston,2018,22,1343.2087115888837,3814,186.66956250000237,1213.8619330099368
Boston,2018,23,1332.6457256346366,8824,186.6695624999841,1214.2406249997991
Boston,2018,24,1382.4513835261134,14265,187.44412499995832,1214.86215201066
Boston,2018,25,1419.7318276858002,24583,187.44412499998478,1215.379687499501
Boston,2018,26,1428.0984209258395,15359,187.44412499995573,1215.3796874996488
Boston,2018,27,1631.8706292947604,17696,187.44412499995124,1215.379687499597
Boston,2018,28,1437.8646318201984,22470,187.44412499994692,1215.6625014598699
Boston,2018,29,1462.5285850414248,22930,189.600030034236,1215.759374999565
Boston,2018,30,1402.8336649796508,20154,190.5230436049176,1216.1097485302657
Boston,2018,31,1474.367769722941,17036,194.3349396242447,1216.8984375
Boston,2018,32,1424.2236802483606,20616,198.87068770920152,1259.7698268333845
Boston,2018,33,1414.8084782009241,15230,202.16081249996316,1376.5844794401396
Boston,2018,34,1485.8384905989326,16062,203.22953707509353,1444.796982979951
Boston,2018,35,1397.3651526600838,24191,210.05516400202106,1546.886788410081
Boston,2019,23,1366.5590921378403,31518,279.6220021237027,1650.7530009647837
Boston,2019,24,1336.915072505435,14261,280.9150969427432,1652.5301922644421
Boston,2019,25,1316.40414228829,11301,284.2644374999522,1652.7796874999153
Boston,2019,26,1353.0280303053494,26134,289.6840632268592,1653.7706175388344
Boston,2019,27,1644.021656675663,28926,292.2360903664854,1653.9187500005212
Boston,2019,28,1359.2464503580052,26117,294.20183385328687,1666.5380784660283
Boston,2019,29,1355.7179960536014,25593,297.89232491806615,1827.9245776430623
Boston,2019,30,1407.426550766199,24406,301.106998517324,2026.265241257466
Boston,2019,31,1316.8610209335084,20589,303.44344618777933,2033.785351703831
Boston,2019,32,1362.782745792744,14677,305.9521874999682,2033.985937499495
Boston,2019,33,1382.0384027711402,14651,308.91932597187906,2033.985937499497
Boston,2019,34,1373.8023748221513,18977,311.5929796202017,2033.985937499272
Boston,2019,35,1390.5315139493737,20897,316.9933633656695,2033.985937499202
